percent_hrmax,rpe,age,max_hr,hr,percent_ftp,weight,female,watts,activity
0.7440000000000001,3.96,32.0,185.6,138.0,,,,,
0.735,3.82,31.0,186.3,137.0,,,,,
0.8440000000000001,5.96,23.0,191.9,162.0,,,,,
0.536,1.06,36.0,182.8,98.0,,,,,
0.9,7.09,24.0,191.2,172.0,,,,,
0.589,1.72,23.0,191.9,113.0,,,,,
0.8809999999999999,6.71,20.0,194.0,171.0,,,,,
0.851,6.1,32.0,185.6,158.0,,,,,
0.7609999999999999,4.28,25.0,190.5,145.0,,,,,
0.9079999999999999,7.25,39.0,180.7,164.0,,,,,
0.799,5.05,29.0,187.7,150.0,,,,,
0.895,6.99,29.0,187.7,168.0,,,,,
0.8290000000000001,5.66,30.0,187.0,155.0,,,,,
0.976,9.38,38.0,181.4,177.0,,,,,
0.7929999999999999,4.93,27.0,189.1,150.0,,,,,
0.879,6.67,29.0,187.7,165.0,,,,,
0.5710000000000001,1.49,22.0,192.6,110.0,,,,,
0.727,3.7,34.0,184.2,134.0,,,,,
0.861,6.3,25.0,190.5,164.0,,,,,
0.687,3.11,31.0,186.3,128.0,,,,,
0.711,3.47,36.0,182.8,130.0,,,,,
0.833,5.74,21.0,193.3,161.0,,,,,
0.9640000000000001,8.84,29.0,187.7,181.0,,,,,
0.877,6.63,38.0,181.4,159.0,,,,,
0.93,7.7,30.0,187.0,174.0,,,,,
0.809,5.25,20.0,194.0,157.0,,,,,
0.9259999999999999,7.62,21.0,193.3,179.0,,,,,
0.903,7.15,36.0,182.8,165.0,,,,,
0.7190000000000001,3.59,37.0,182.1,131.0,,,,,
0.877,6.63,38.0,181.4,159.0,,,,,
0.7,3.3,38.0,181.4,127.0,,,,,
0.505,0.68,31.0,186.3,94.0,,,,,
0.895,6.99,21.0,193.3,173.0,,,,,
0.988,9.91,24.0,191.2,189.0,,,,,
0.49700000000000005,0.58,21.0,193.3,96.0,,,,,
0.722,3.63,32.0,185.6,134.0,,,,,
0.6559999999999999,2.65,38.0,181.4,119.0,,,,,
0.9540000000000001,8.4,38.0,181.4,173.0,,,,,
0.727,3.7,26.0,189.8,138.0,,,,,
0.581,1.62,39.0,180.7,105.0,,,,,
0.785,4.77,35.0,183.5,144.0,,,,,
0.941,7.92,33.0,184.9,174.0,,,,,
0.807,5.21,21.0,193.3,156.0,,,,,
0.818,5.43,37.0,182.1,149.0,,,,,
0.623,2.16,29.0,187.7,117.0,,,,,
0.607,1.94,36.0,182.8,111.0,,,,,
0.74,3.9,23.0,191.9,142.0,,,,,
0.988,9.91,34.0,184.2,182.0,,,,,
0.591,1.74,24.0,191.2,113.0,,,,,
0.633,2.31,33.0,184.9,117.0,,,,,
0.698,3.27,21.0,193.3,135.0,,,,,
0.662,2.74,36.0,182.8,121.0,,,,,
0.631,2.28,30.0,187.0,118.0,,,,,
0.9279999999999999,7.66,34.0,184.2,171.0,,,,,
0.605,1.91,35.0,183.5,111.0,,,,,
0.502,0.64,24.0,191.2,96.0,,,,,
0.728,3.72,36.0,182.8,133.0,,,,,
0.983,9.69,34.0,184.2,181.0,,,,,
0.563,1.4,23.0,191.9,108.0,,,,,
0.573,1.52,38.0,181.4,104.0,,,,,
0.568,1.46,38.0,181.4,103.0,,,,,
0.852,6.12,29.0,187.7,160.0,,,,,
0.727,3.7,22.0,192.6,140.0,,,,,
0.758,4.22,24.0,191.2,145.0,,,,,
0.735,3.82,27.0,189.1,139.0,,,,,
0.843,5.94,31.0,186.3,157.0,,,,,
0.865,6.38,38.0,181.4,157.0,,,,,
0.866,6.4,25.0,190.5,165.0,,,,,
0.925,7.6,36.0,182.8,169.0,,,,,
0.747,4.0,37.0,182.1,136.0,,,,,
0.935,7.8,22.0,192.6,180.0,,,,,
0.9229999999999999,7.56,31.0,186.3,172.0,,,,,
0.9,7.09,21.0,193.3,174.0,,,,,
0.986,9.82,32.0,185.6,183.0,,,,,
0.7609999999999999,4.28,23.0,191.9,146.0,,,,,
0.541,1.12,33.0,184.9,100.0,,,,,
0.637,2.37,37.0,182.1,116.0,,,,,
0.87,6.48,31.0,186.3,162.0,,,,,
0.775,4.57,28.0,188.4,146.0,,,,,
0.741,3.91,33.0,184.9,137.0,,,,,
0.588,1.7,30.0,187.0,110.0,,,,,
0.5479999999999999,1.21,21.0,193.3,106.0,,,,,
0.7090000000000001,3.44,31.0,186.3,132.0,,,,,
0.7190000000000001,3.59,37.0,182.1,131.0,,,,,
0.541,1.12,28.0,188.4,102.0,,,,,
0.5820000000000001,1.63,20.0,194.0,113.0,,,,,
0.9109999999999999,7.31,26.0,189.8,173.0,,,,,
0.722,3.63,28.0,188.4,136.0,,,,,
0.654,2.62,24.0,191.2,125.0,,,,,
0.943,7.96,29.0,187.7,177.0,,,,,
0.982,9.64,25.0,190.5,187.0,,,,,
0.665,2.79,33.0,184.9,123.0,,,,,
0.525,0.93,36.0,182.8,96.0,,,,,
0.594,1.78,23.0,191.9,114.0,,,,,
0.7979999999999999,5.03,25.0,190.5,152.0,,,,,
0.732,3.78,24.0,191.2,140.0,,,,,
0.883,6.75,27.0,189.1,167.0,,,,,
0.6,1.85,33.0,184.9,111.0,,,,,
0.735,3.82,31.0,186.3,137.0,,,,,
0.602,1.88,29.0,187.7,113.0,,,,,
0.7609999999999999,4.28,25.0,190.5,145.0,,,,,
0.927,7.64,32.0,185.6,172.0,,,,,
0.759,4.24,30.0,187.0,142.0,,,,,
0.498,0.59,22.0,192.6,96.0,,,,,
0.503,0.65,30.0,187.0,94.0,,,,,
0.574,1.53,36.0,182.8,105.0,,,,,
0.557,1.32,20.0,194.0,108.0,,,,,
0.76,4.26,32.0,185.6,141.0,,,,,
0.6779999999999999,2.98,21.0,193.3,131.0,,,,,
0.848,6.04,26.0,189.8,161.0,,,,,
0.542,1.14,36.0,182.8,99.0,,,,,
0.7829999999999999,4.73,38.0,181.4,142.0,,,,,
0.687,3.11,35.0,183.5,126.0,,,,,
0.8170000000000001,5.41,33.0,184.9,151.0,,,,,
0.536,1.06,36.0,182.8,98.0,,,,,
0.7509999999999999,4.08,27.0,189.1,142.0,,,,,
0.778,4.63,29.0,187.7,146.0,,,,,
0.573,1.52,28.0,188.4,108.0,,,,,
0.8109999999999999,5.29,26.0,189.8,154.0,,,,,
0.703,3.35,25.0,190.5,134.0,,,,,
0.602,1.88,29.0,187.7,113.0,,,,,
0.5479999999999999,1.21,39.0,180.7,99.0,,,,,
0.706,3.39,32.0,185.6,131.0,,,,,
0.7709999999999999,4.48,21.0,193.3,149.0,,,,,
0.937,7.84,38.0,181.4,170.0,,,,,
0.779,4.65,24.0,191.2,149.0,,,,,
0.562,1.38,20.0,194.0,109.0,,,,,
0.657,2.67,34.0,184.2,121.0,,,,,
0.523,0.9,32.0,185.6,97.0,,,,,
0.621,2.13,35.0,183.5,114.0,,,,,
0.9540000000000001,8.4,35.0,183.5,175.0,,,,,
0.6609999999999999,2.73,29.0,187.7,124.0,,,,,
0.643,2.46,24.0,191.2,123.0,,,,,
0.708,3.42,35.0,183.5,130.0,,,,,
0.857,6.22,32.0,185.6,159.0,,,,,
0.797,5.01,30.0,187.0,149.0,,,,,
0.8740000000000001,6.57,29.0,187.7,164.0,,,,,
0.902,7.13,23.0,191.9,173.0,,,,,
0.943,7.96,35.0,183.5,173.0,,,,,
0.585,1.67,36.0,182.8,107.0,,,,,
0.526,0.94,39.0,180.7,95.0,,,,,
0.6729999999999999,2.9,36.0,182.8,123.0,,,,,
0.561,1.37,35.0,183.5,103.0,,,,,
0.988,9.91,31.0,186.3,184.0,,,,,
0.777,4.61,36.0,182.8,142.0,,,,,
0.563,1.4,28.0,188.4,106.0,,,,,
0.843,5.94,21.0,193.3,163.0,,,,,
0.9329999999999999,7.76,23.0,191.9,179.0,,,,,
0.841,5.9,39.0,180.7,152.0,,,,,
0.67,2.86,20.0,194.0,130.0,,,,,
0.593,1.77,20.0,194.0,115.0,,,,,
0.9259999999999999,7.62,21.0,193.3,179.0,,,,,
0.5870000000000001,1.69,27.0,189.1,111.0,,,,,
0.531,1.0,36.0,182.8,97.0,,,,,
0.9309999999999999,7.72,21.0,193.3,180.0,,,,,
0.773,4.53,31.0,186.3,144.0,,,,,
0.6679999999999999,2.83,32.0,185.6,124.0,,,,,
0.594,1.78,28.0,188.4,112.0,,,,,
0.893,6.95,22.0,192.6,172.0,,,,,
0.569,1.47,36.0,182.8,104.0,,,,,
0.708,3.42,33.0,184.9,131.0,,,,,
0.57,1.48,24.0,191.2,109.0,,,,,
0.6559999999999999,2.65,27.0,189.1,124.0,,,,,
0.64,2.41,36.0,182.8,117.0,,,,,
0.532,1.01,23.0,191.9,102.0,,,,,
0.6,1.85,28.0,188.4,113.0,,,,,
0.662,2.74,21.0,193.3,128.0,,,,,
0.945,8.0,22.0,192.6,182.0,,,,,
0.7,3.3,38.0,181.4,127.0,,,,,
0.6890000000000001,3.14,36.0,182.8,126.0,,,,,
0.941,7.92,39.0,180.7,170.0,,,,,
0.618,2.09,22.0,192.6,119.0,,,,,
0.853,6.14,31.0,186.3,159.0,,,,,
0.848,6.04,36.0,182.8,155.0,,,,,
0.7170000000000001,3.56,22.0,192.6,138.0,,,,,
0.866,6.4,30.0,187.0,162.0,,,,,
0.522,0.89,37.0,182.1,95.0,,,,,
0.49700000000000005,0.58,27.0,189.1,94.0,,,,,
0.569,1.47,26.0,189.8,108.0,,,,,
0.56,1.36,24.0,191.2,107.0,,,,,
0.779,4.65,24.0,191.2,149.0,,,,,
0.6509999999999999,2.58,34.0,184.2,120.0,,,,,
0.877,6.63,25.0,190.5,167.0,,,,,
0.977,9.42,34.0,184.2,180.0,,,,,
0.8109999999999999,5.29,26.0,189.8,154.0,,,,,
0.647,2.52,39.0,180.7,117.0,,,,,
0.8959999999999999,7.01,34.0,184.2,165.0,,,,,
0.7879999999999999,4.83,38.0,181.4,143.0,,,,,
0.902,7.13,31.0,186.3,168.0,,,,,
0.7,3.3,36.0,182.8,128.0,,,,,
0.524,0.91,22.0,192.6,101.0,,,,,
0.595,1.79,26.0,189.8,113.0,,,,,
0.616,2.06,21.0,193.3,119.0,,,,,
0.763,4.32,35.0,183.5,140.0,,,,,
0.976,9.38,38.0,181.4,177.0,,,,,
0.511,0.75,29.0,187.7,96.0,,,,,
0.667,2.81,36.0,182.8,122.0,,,,,
0.787,4.81,34.0,184.2,145.0,,,,,
0.499,0.6,34.0,184.2,92.0,,,,,
0.892,6.93,25.0,190.5,170.0,,,,,
0.9390000000000001,7.88,31.0,186.3,175.0,,,,,
0.991,10.0,26.0,189.8,188.0,,,,,
0.516,0.81,26.0,189.8,98.0,,,,,
0.977,9.42,31.0,186.3,182.0,,,,,
0.889,6.87,24.0,191.2,170.0,,,,,
0.847,6.02,34.0,184.2,156.0,,,,,
0.78,4.67,26.0,189.8,148.0,,,,,
0.605,1.91,28.0,188.4,114.0,,,,,
0.7859999999999999,4.79,30.0,187.0,147.0,,,,,
0.867,6.42,27.0,189.1,164.0,,,,,
0.664,2.77,37.0,182.1,121.0,,,,,
0.7829999999999999,4.73,38.0,181.4,142.0,,,,,
0.562,1.38,33.0,184.9,104.0,,,,,
0.828,5.64,28.0,188.4,156.0,,,,,
0.823,5.54,23.0,191.9,158.0,,,,,
0.8640000000000001,6.36,31.0,186.3,161.0,,,,,
0.6459999999999999,2.5,36.0,182.8,118.0,,,,,
0.74,3.9,27.0,189.1,140.0,,,,,
0.695,3.23,26.0,189.8,132.0,,,,,
0.6920000000000001,3.19,39.0,180.7,125.0,,,,,
0.753,4.12,20.0,194.0,146.0,,,,,
0.841,5.9,39.0,180.7,152.0,,,,,
0.7390000000000001,3.88,38.0,181.4,134.0,,,,,
0.581,1.62,29.0,187.7,109.0,,,,,
0.607,1.94,24.0,191.2,116.0,,,,,
0.7929999999999999,4.93,27.0,189.1,150.0,,,,,
0.701,3.32,22.0,192.6,135.0,,,,,
0.774,4.55,26.0,189.8,147.0,,,,,
0.501,0.63,35.0,183.5,92.0,,,,,
0.988,9.91,37.0,182.1,180.0,,,,,
0.8690000000000001,6.46,21.0,193.3,168.0,,,,,
0.805,5.17,22.0,192.6,155.0,,,,,
0.826,5.6,36.0,182.8,151.0,,,,,
0.79,4.87,33.0,184.9,146.0,,,,,
0.504,0.67,25.0,190.5,96.0,,,,,
0.978,9.47,21.0,193.3,189.0,,,,,
0.95,8.22,28.0,188.4,179.0,,,,,
0.695,3.23,26.0,189.8,132.0,,,,,
0.561,1.37,22.0,192.6,108.0,,,,,
0.638,2.39,35.0,183.5,117.0,,,,,
0.623,2.16,22.0,192.6,120.0,,,,,
0.909,7.27,33.0,184.9,168.0,,,,,
0.73,3.75,39.0,180.7,132.0,,,,,
0.6759999999999999,2.95,33.0,184.9,125.0,,,,,
0.8190000000000001,5.45,39.0,180.7,148.0,,,,,
0.7440000000000001,3.96,34.0,184.2,137.0,,,,,
0.8420000000000001,5.92,24.0,191.2,161.0,,,,,
0.514,0.79,25.0,190.5,98.0,,,,,
0.581,1.62,24.0,191.2,111.0,,,,,
0.674,2.92,26.0,189.8,128.0,,,,,
0.987,9.87,28.0,188.4,186.0,,,,,
0.597,1.81,34.0,184.2,110.0,,,,,
0.945,8.0,25.0,190.5,180.0,,,,,
0.762,4.3,29.0,187.7,143.0,,,,,
0.975,9.33,26.0,189.8,185.0,,,,,
0.7140000000000001,3.51,33.0,184.9,132.0,,,,,
0.961,8.71,31.0,186.3,179.0,,,,,
0.777,4.61,25.0,190.5,148.0,,,,,
0.841,5.9,32.0,185.6,156.0,,,,,
0.98,9.56,39.0,180.7,177.0,,,,,
0.588,1.7,37.0,182.1,107.0,,,,,
0.574,1.53,21.0,193.3,111.0,,,,,
0.585,1.67,26.0,189.8,111.0,,,,,
0.792,4.91,21.0,193.3,153.0,,,,,
0.986,9.82,32.0,185.6,183.0,,,,,
0.516,0.81,26.0,189.8,98.0,,,,,
0.738,3.87,28.0,188.4,139.0,,,,,
0.941,7.92,24.0,191.2,180.0,,,,,
0.722,3.63,26.0,189.8,137.0,,,,,
0.94,7.9,25.0,190.5,179.0,,,,,
0.833,5.74,21.0,193.3,161.0,,,,,
0.64,2.41,25.0,190.5,122.0,,,,,
0.821,5.49,24.0,191.2,157.0,,,,,
0.513,0.78,24.0,191.2,98.0,,,,,
0.9590000000000001,8.62,20.0,194.0,186.0,,,,,
0.89,6.89,26.0,189.8,169.0,,,,,
0.922,7.54,23.0,191.9,177.0,,,,,
0.985,9.78,26.0,189.8,187.0,,,,,
0.5429999999999999,1.15,21.0,193.3,105.0,,,,,
0.965,8.89,35.0,183.5,177.0,,,,,
0.86,6.28,33.0,184.9,159.0,,,,,
0.879,6.67,21.0,193.3,170.0,,,,,
0.945,8.0,22.0,192.6,182.0,,,,,
0.862,6.32,27.0,189.1,163.0,,,,,
0.738,3.87,34.0,184.2,136.0,,,,,
0.516,0.81,26.0,189.8,98.0,,,,,
0.7140000000000001,3.51,35.0,183.5,131.0,,,,,
0.513,0.78,30.0,187.0,96.0,,,,,
0.9129999999999999,7.35,39.0,180.7,165.0,,,,,
0.57,1.48,24.0,191.2,109.0,,,,,
0.833,5.74,28.0,188.4,157.0,,,,,
0.825,5.58,34.0,184.2,152.0,,,,,
0.89,6.89,34.0,184.2,164.0,,,,,
0.6629999999999999,2.76,30.0,187.0,124.0,,,,,
0.8959999999999999,7.01,23.0,191.9,172.0,,,,,
0.983,9.69,34.0,184.2,181.0,,,,,
0.594,1.78,23.0,191.9,114.0,,,,,
0.649,2.55,24.0,191.2,124.0,,,,,
0.644,2.47,20.0,194.0,125.0,,,,,
0.556,1.31,22.0,192.6,107.0,,,,,
0.677,2.96,29.0,187.7,127.0,,,,,
0.845,5.98,20.0,194.0,164.0,,,,,
0.763,4.32,20.0,194.0,148.0,,,,,
0.813,5.33,30.0,187.0,152.0,,,,,
0.8809999999999999,6.71,28.0,188.4,166.0,,,,,
0.556,1.31,22.0,192.6,107.0,,,,,
0.836,5.8,22.0,192.6,161.0,,,,,
0.57,1.48,24.0,191.2,109.0,,,,,
0.9,7.09,32.0,185.6,167.0,,,,,
0.608,1.95,34.0,184.2,112.0,,,,,
0.778,4.63,31.0,186.3,145.0,,,,,
0.8029999999999999,5.13,34.0,184.2,148.0,,,,,
0.52,0.86,39.0,180.7,94.0,,,,,
0.8490000000000001,6.06,28.0,188.4,160.0,,,,,
0.6759999999999999,2.95,33.0,184.9,125.0,,,,,
0.9890000000000001,9.96,27.0,189.1,187.0,,,,,
0.9790000000000001,9.51,36.0,182.8,179.0,,,,,
0.885,6.79,34.0,184.2,163.0,,,,,
0.61,1.98,30.0,187.0,114.0,,,,,
0.664,2.77,37.0,182.1,121.0,,,,,
0.9209999999999999,7.52,38.0,181.4,167.0,,,,,
0.595,1.79,21.0,193.3,115.0,,,,,
0.768,4.42,22.0,192.6,148.0,,,,,
0.9329999999999999,7.76,20.0,194.0,181.0,,,,,
0.83,5.68,20.0,194.0,161.0,,,,,
0.525,0.93,28.0,188.4,99.0,,,,,
0.61,1.98,30.0,187.0,114.0,,,,,
0.696,3.24,20.0,194.0,135.0,,,,,
0.804,5.15,27.0,189.1,152.0,,,,,
0.976,9.38,25.0,190.5,186.0,,,,,
0.727,3.7,30.0,187.0,136.0,,,,,
0.59,1.73,21.0,193.3,114.0,,,,,
0.6920000000000001,3.19,33.0,184.9,128.0,,,,,
0.5670000000000001,1.44,35.0,183.5,104.0,,,,,
0.649,2.55,22.0,192.6,125.0,,,,,
0.955,8.44,28.0,188.4,180.0,,,,,
0.895,6.99,21.0,193.3,173.0,,,,,
0.762,4.3,31.0,186.3,142.0,,,,,
0.821,5.49,36.0,182.8,150.0,,,,,
0.63,2.27,32.0,185.6,117.0,,,,,
0.99,10.0,33.0,184.9,183.0,,,,,
0.843,5.94,26.0,189.8,160.0,,,,,
0.794,4.95,38.0,181.4,144.0,,,,,
0.556,1.31,25.0,190.5,106.0,,,,,
0.665,2.79,33.0,184.9,123.0,,,,,
0.63,2.27,34.0,184.2,116.0,,,,,
0.61,1.98,30.0,187.0,114.0,,,,,
0.573,1.52,28.0,188.4,108.0,,,,,
0.943,7.96,32.0,185.6,175.0,,,,,
0.9229999999999999,7.56,20.0,194.0,179.0,,,,,
0.763,4.32,22.0,192.6,147.0,,,,,
0.8109999999999999,5.29,26.0,189.8,154.0,,,,,
0.505,0.68,37.0,182.1,92.0,,,,,
0.607,1.94,22.0,192.6,117.0,,,,,
0.943,7.96,29.0,187.7,177.0,,,,,
0.584,1.65,28.0,188.4,110.0,,,,,
0.847,6.02,34.0,184.2,156.0,,,,,
0.978,9.47,24.0,191.2,187.0,,,,,
0.971,9.16,25.0,190.5,185.0,,,,,
0.741,3.91,29.0,187.7,139.0,,,,,
0.511,0.75,37.0,182.1,93.0,,,,,
0.69,3.16,28.0,188.4,130.0,,,,,
0.877,6.63,38.0,181.4,159.0,,,,,
0.7040000000000001,3.36,21.0,193.3,136.0,,,,,
0.75,4.06,23.0,191.9,144.0,,,,,
0.7659999999999999,4.38,23.0,191.9,147.0,,,,,
0.9229999999999999,7.56,20.0,194.0,179.0,,,,,
0.5479999999999999,1.21,39.0,180.7,99.0,,,,,
0.924,7.58,25.0,190.5,176.0,,,,,
0.629,2.25,36.0,182.8,115.0,,,,,
0.988,9.91,34.0,184.2,182.0,,,,,
0.847,6.02,29.0,187.7,159.0,,,,,
0.877,6.63,38.0,181.4,159.0,,,,,
0.875,6.59,26.0,189.8,166.0,,,,,
0.733,3.79,30.0,187.0,137.0,,,,,
0.785,4.77,35.0,183.5,144.0,,,,,
0.79,4.87,35.0,183.5,145.0,,,,,
0.604,1.9,37.0,182.1,110.0,,,,,
0.85,6.08,30.0,187.0,159.0,,,,,
0.722,3.63,36.0,182.8,132.0,,,,,
0.605,1.91,21.0,193.3,117.0,,,,,
0.764,4.34,24.0,191.2,146.0,,,,,
0.79,4.87,26.0,189.8,150.0,,,,,
0.86,6.28,23.0,191.9,165.0,,,,,
0.655,2.64,20.0,194.0,127.0,,,,,
0.938,7.86,26.0,189.8,178.0,,,,,
0.914,7.37,22.0,192.6,176.0,,,,,
0.583,1.64,25.0,190.5,111.0,,,,,
0.9620000000000001,8.76,21.0,193.3,186.0,,,,,
0.75,4.06,23.0,191.9,144.0,,,,,
0.82,5.47,22.0,192.6,158.0,,,,,
0.759,4.24,26.0,189.8,144.0,,,,,
0.659,2.7,22.0,192.6,127.0,,,,,
0.95,8.22,34.0,184.2,175.0,,,,,
0.649,2.55,33.0,184.9,120.0,,,,,
0.8540000000000001,6.16,21.0,193.3,165.0,,,,,
0.782,4.71,25.0,190.5,149.0,,,,,
0.987,9.87,22.0,192.6,190.0,,,,,
0.573,1.52,38.0,181.4,104.0,,,,,
0.535,1.05,38.0,181.4,97.0,,,,,
0.5429999999999999,1.15,21.0,193.3,105.0,,,,,
0.7490000000000001,4.04,32.0,185.6,139.0,,,,,
0.5589999999999999,1.35,29.0,187.7,105.0,,,,,
0.547,1.2,36.0,182.8,100.0,,,,,
0.851,6.1,32.0,185.6,158.0,,,,,
0.986,9.82,32.0,185.6,183.0,,,,,
0.614,2.03,32.0,185.6,114.0,,,,,
0.685,3.08,28.0,188.4,129.0,,,,,
0.556,1.31,30.0,187.0,104.0,,,,,
0.511,0.75,23.0,191.9,98.0,,,,,
0.882,6.73,33.0,184.9,163.0,,,,,
0.899,7.07,27.0,189.1,170.0,,,,,
0.498,0.59,39.0,180.7,90.0,,,,,
0.8079999999999999,5.23,39.0,180.7,146.0,,,,,
0.897,7.03,28.0,188.4,169.0,,,,,
0.7140000000000001,3.51,31.0,186.3,133.0,,,,,
0.912,7.33,23.0,191.9,175.0,,,,,
0.809,5.25,34.0,184.2,149.0,,,,,
0.754,4.14,28.0,188.4,142.0,,,,,
0.871,6.51,25.0,190.5,166.0,,,,,
0.664,2.77,26.0,189.8,126.0,,,,,
0.604,1.9,30.0,187.0,113.0,,,,,
