Numeric ID	Display Name	Exercise	Description	Video URL	Filmed	Uploaded	Edited	Person Completing	
"71"	Foam Roll - Outer Lower Leg	SMR - Peroneals	Lay on your side, supporting your weight on your forearm and on a foam roller placed on the outside of your lower leg. Your upper leg can either be on top of your lower leg, or you can cross it in front of you. Raise your hips off of the ground and begin to roll from below the knee to above the ankle on the side of your leg, pausing at points of tension. Repeat on the other leg.	https://www.youtube.com/watch?v=mNkT0AbkEy4	Y	Y		Maria	
"72"	Foam Roll - Outer Shin	SMR - Tibialis Anterior	Lie on your side on the ground with the roller underneath the outside of your lower leg. Hold yourself up by placing the same side forearm and opposite side hand on the ground. Roll back and forth over the outside portion of your lower leg. Hold tender areas for about 30 seconds or until discomfort decreases. To increase pressure, stack one leg on top of the other and roll the bottom leg.	https://www.youtube.com/watch?v=vSUIBqrldkU	Y	Y			
"73"	Active Release - Inner Shin	SMR - Tibialis Posterior	Lie on your stomach and place roller on the inside portion of your shin. Slowly roll the inner shin to find a tender spot. Hold for 30 seconds. Repeat on the other side.	https://www.youtube.com/watch?v=c88lwFseOcU	Y	Y			
"74"	Foam Roll - Bottom of Foot	SMR- Bottom of Foot	Start off standing (can be performed seated) with shoes off. Using a roller or a similar object, place your foot against the object across the arch of your foot. Press down firmly, rolling across the arch of your foot. Hold for 10-30 seconds, and then switch feet.	https://www.youtube.com/watch?v=ZqwV6pJgvgE	Y	Y		Chris	
"75"	Toe Lifts	Toe Lifts	Stand with your feet shoulder width apart and weight balanced across your foot. Lift your toes upward toward your shins, keeping your heels on the ground. Hold briefly at the top, then slowly let your toes return to the ground. Repeat for assigned reps.	https://www.youtube.com/watch?v=LH0h1drPry8&t=2s	Y	Y		Chris	
"76"		Banded A-march							
"77"		Wall Sit							
"78"	Standing Calf Raises	Calf Raise on Raised Surface	Stand in a shoulder-width stance with your toes flat on the edge of a box or step with your heels and mid-foot hanging off the edge so you feel a stretch in your calf. Use the wall or a rail as a support to stay balanced. Push your toes into the box so your heels raise up, pause, then lower yourself back to the starting position, being sure to feel a stretch in your calves.	https://www.youtube.com/watch?v=7ti1VEuyyBQ	Y	Y		Chris	
"79"	Posterior Pelvic Tilt	Posterior Pelvic Tilt	Lie on your back with the knees bent and the soles of the feet on the floor. This is your neutral position. On an exhale, contract your abdomen to round your back so it is flush against the ground. Your hips should not leave the floor. Hold for 1-2 seconds, maintaining the abdominal contraction, then return to the neutral position. Repeat this movement for the recommended reps.	https://www.youtube.com/watch?v=q0gRZJ5M3ls	Y	Y			
"80"	Posterior Pelvic Tilt with Hip Bridge	Posterior Pelvic Tilt with Hip Bridge	Lie on your back with knees bent and feet flat on the floor. This is your neutral position. Contract your abdomen and round your back so it is flush with the ground. Maintaining the contraction, squeeze your glutes and bring your hips off the ground to a bridge position. Hold for 2-3 seconds, then bring your hips back down. Once your hips are on the floor, relax your abdomen to return back to the neutral position. Repeat this movement for the recommended number of reps.						
"81"	Clam Shells (On Side)	Bent Knee Hip External Rotation (On Side)	Begin by lying on your side with your legs stacked and knees bent. Initiate the exercise by opening (abducting) the leg on top, pushing your knee away from your body. Maintain contact between your feet throughout the movement. Pause at the top of the motion, and then return to the starting position. Repeat for the desired number of reps. Switch sides and repeat.	https://www.youtube.com/watch?v=EG5_gXcfozw	Y	Y			
"82"	Lateral Walks	Lateral Walks	Begin in a wide stance. Bend your knees so you are in a half-squat position. Keep your arms up in front of your to maintain balance. Engaging your core and glutes, step out with one leg and follow with the other, making sure your feet do not come closer than shoulder-width apart. Continue stepping out sideways for the recommended number of reps, maintaining the half-squat position. Rest, and repeat in the opposite direction.						
"83"	Monster Walks	Monster Walks							
"84"	Dead Bugs	Supine Arm/Leg Raise - Dying Bugs	Lie on your back with your legs straight and your arms overhead. Bend your hips and knees. Contract your abdomen so your low back is flush with the ground. Initiate the exercise by bringing one leg and the opposite arm to the ground, straightening the knee and hip to bring the leg just above the ground. Stay tight and return the working limbs to the starting position. Repeat on the opposite side, alternating until the set is complete.	https://www.youtube.com/watch?v=kwWZBbkXtg4	Y	Y		Ivonna (floor)	
"85"	Plank (on Knees)	Prone Plank on Knees	Begin on your stomach and position your elbows beneath your shoulders. Lift your body off the ground from your forearms and knees. Hold your body straight by keeping your abdominal muscles and your thigh muscles tight. Squeeze your glutes for stability and don't let your hips drop. Try to keep a straight line from your head and neck to your back. Hold this position for 30 seconds.	https://www.youtube.com/watch?v=Mqxmsfgv9Es	Y	Y		Ivonna (floor)	
"86"	Plank	Prone Plank on Toes	Begin on your stomach and position your elbows underneath your shoulders. Lift your body off the ground so you are supported on your foreamrs and toes. Maintain alignment through contracting your core and squeezing through your glutes and thighs. Ensure your hips do not drop during this exercise. Hold for 30 seconds, then relax back to the floor.						
"87"	Plank with Kickbacks	Prone Plank Leg Lift	Begin on your stomach and position your elbows underneath your shoulders. Lift your body off the ground so you are supported on your foreamrs and toes. Maintain alignment through contracting your core and squeezing through your glutes and thighs. From here, lift one leg up by squeezing through your glute--hold for 2 seconds then drop back down to the ground. Ensure your hips do not drop during this exercise. Repeat for recommended reps, then rest. Repeat on the other leg.						
"88"	Mountain Climbers	Prone Plank Knee to Chest							
"89"	Side Plank (Knees Bent)	Side Plank Knees Bent							
"90"	Side Plank	Side Plank Knees Straight							
"91"	Side Plank (Knees Bent) w/ Leg Lifts	Side Plank Knees Bent Leg Lifts							
"92"	Side Plank with Leg Lifts	Side Plank Knees Straight Leg Lifts							
"93"		Wall Sit With Resistance							
"94"		Wall Sit With Weight							
"95"		Step-ups to overhead press							
"96"		Lunges to overhead press							
"97"		Single-leg squat to overhead press							
"98"	Lying Abdominal Stretch (Cobra)	Cobra Abdominal Stretch	Lie face down with your hands under your shoulders. Point your feet downwards to lengthen your spine. Slowly push your torso up as far as you comfortably can – try to get your hips to rise off the floor slightly. Hold the stretch for 30 seconds and then lower down to starting position.	https://www.youtube.com/watch?v=JDcdhTuycOI	Y	Y		Ivonna	
"99"		Double leg squat with overhead press							
"100"		Double leg RDL							
"101"		Single leg RDL							
"102"	Foam Roll - Upper Back	SMR - Erector Spinae	From a seated position, place a foam roll under your lower back. Cross your arms in front of you and protract your shoulders. Raise your hips off of the floor and lean back, keeping your weight on your lower back. Roll over your lower back, holding points of tension for 30 seconds. Repeat on the other side.	https://www.youtube.com/watch?v=NS73eSohTbc	Y	Y		Ivonna	
"103"	Child's Pose (Arms Straight)	Child's Pose Arms Straight	Begin on your hands and knees with your hands shoulder-width apart, and back flat (spine neutral). Keep your knees and ankles separated and the tops of your feet on the floor as you shift your weight back over your heels, lengthening your spine, relaxing your head and neck, and reaching forward through your fingertips. Breathe deeply and hold for 30 seconds.	https://www.youtube.com/watch?v=pJcobQf324o	Y	Y			
"104"	Child's Pose (Arms to Side)	Child's Pose to Side	Kneel on all fours, then place one hand on the opposite side of the other hand - reaching as far away from your body as possible in a diagonal pattern. Keep the hand in position as you sit your buttocks back toward your heels to increase the intensity of stretch. Hold for 30 seconds. Switch sides and repeat.	https://www.youtube.com/watch?v=p6kvGzqarR4	Y	Y		Ivonna	
"105"	4-Way Ankle Holds	4-Way Ankle Isometrics	This exercise will be performed in 4 directions. First, point your toes down and press them into the top of your other foot. Hold for 1-2 seconds, relax, then repeat for recommended number of reps. Next, move your foot underneath your other foot, then pull up toward the top foot. Hold, then relax and repeat. Push your toes into the side of your other foot. Hold, relax and repeat. Cross your leg over the other and push the outside of your foot into your other foot. Hold, relax and repeat.	https://www.youtube.com/watch?v=MBy6-k_-NsI	Y	Y		Ivonna	
"106"	4-Way Ankle Mobility	4-Way Ankle Mobility							
"107"	Combined Ankle Resistance	Compound Resisted Ankle							
"108"	Glute Activation Extensions	Glute Max Activation	Stand with your legs shoulder width apart and hold onto a table or chair in front of you for support. Keep your knee straight and toes pointed, and kick your leg backward slowly activating your glute. Slowly return to the starting position. Complete assigned reps and switch sides. Next, assume the same starting position but kick your leg out laterally away from your body. Complete assigned reps and switch sides.	https://www.youtube.com/watch?v=UcoWI7tlWF0	Y	Y		Maria	
"109"	Hip Mobility and Activation	Glute Med Activation							
"110"	Banded Clam Shells (On Side)	Bent Knee Hip External Rotation (On Side)		https://www.youtube.com/watch?v=6xDr8LvURMc					
"111"	Standing Banded Leg Extension (Abductors)	Hip Abduction		https://www.youtube.com/watch?v=k0oEjtPIsXI					
"112"	Standing Banded Leg Extension (Glutes)	Hip Extension		https://www.youtube.com/watch?v=ogFC7XVkYuY					
"113"	4-Way Ankle Strengthening (Banded)	4-Way Ankle Resistance							
"114"	4-Way Ankle Holds (Banded)	4-Way Ankle Isometrics (Banded)							
"115"	Ankle Pumps	Ankle Pumps	Sit on the floor with your back straight and legs extended and spread slightly apart. Begin with your toes pointed up, so the soles of your feet are flat. Point point one foot downward, as though pressing down on the gas pedal of a car, and hold for a count. Return to the starting position, as though letting up on the gas. This completes one repetition of the stretch. Complete assigned reps, switch sides, and repeat.	https://www.youtube.com/watch?v=jQWPW25W5nw					
"116"	Knee Hugs	Knee Hugs	Stand tall with your legs straight and arms hanging at your sides. Kick one knee up, bringing it as high as comfortable. Grasp it with both hands and gently pull it up slightly higher, hugging it to the body. Slowly lower to repeat with the opposite side. Each step should move you forward slightly.						
"117"	Hip Cradles	Hip Cradles	Stand tall with your legs straight and arms hanging at your sides. Lift up one knee and externally rotate that leg so your inner thigh is pointing up. Grab the leg with both hands and cradle it higher to stretch out the glutes. Slowly lower to repeat on the opposite side to continue moving forward.						
"118"	Standing Quads Stretch	Standing Quads Stretch	Stand tall, holding onto a chair or wall for balance if necessary (not pictured). Keep your feet hip-width apart, your back straight and your feet parallel. Reach back and grab your left foot in your left hand, keeping your thighs lined up next to each other and left leg in line with the hip. Breathe deeply and hold for 30 seconds. Repeat on opposite side. 						
"119"	Dynamic Runner Lunges	Dynamic Runner Lunges	Stand with your feet together and hands at your waist. Take a big step forward and bend your legs to form 90 degree angles. Once in your lunge, try a few pulses. Then, straighten your legs back up and repeat, alternating sides.						
"120"	Crab Reaches	Crab Reaches							
"121"	YTW	YTW							
"122"	World's Greatest Stretch	World's Greatest Stretch							
