Numeric ID,Display Name,Exercise,PHASE,Muscle Group / Joint,Inhibit,Lengthen,Activate,Integrate,DOSAGE,min Sets,max Sets,min Reps,max Reps,Bilateral (Y/N),Progression Interval (e.g. 2 reps),Progression Cadence (e.g. 2 exposures),Minimum Exposures to Maintain Stage,Unit of Measure for Reps,Rest Between Sets (seconds),Time Per Set (seconds),Time Per Rep (seconds),Progresses To,,Technical Difficulty,Equipment required,Present in Mapping Logic,Warm-Up,Dynamic Movement,Stability Work,Optional Drills
151,High Knees,High Knees,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,,x,,
152,Ice Skaters,Ice Skaters,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,,,x,
153,Continuous Jumps,Continuous Jumps,,,,,,,,1,1,12,12,N,0,,,yards,0,30,,,,Beginner,none,x,,,x,
154,Long Jump,Long Jump,,,,,,,,1,1,12,12,N,0,,,yards,0,30,,,,Beginner,none,x,,,x,
155,Triple Hop to Stabilization,Triple Hop to Stabilization,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,,,x,
156,Weaving,Weaving,,,,,,,,1,1,2,2,N,0,,,count,0,,30,,,Beginner,none,x,,,,x
157,Box Drill,Box Drill,,,,,,,,1,1,2,2,N,0,,,count,0,,30,,,Beginner,none,x,,,,x
158,Field Sprints,Field Sprints,,,,,,,,1,1,3,3,N,0,,,count,0,,30,,,Beginner,none,x,,,,x
159,Field Bounds,Field Bounds,,,,,,,,1,1,3,3,N,0,,,count,0,,30,,,Beginner,none,x,,,,x
160,Plant & Cuts,Plant & Cuts,,,,,,,,1,1,3,3,N,0,,,count,0,,30,,,Beginner,none,x,,,,x
161,Leg Swings,Leg Swings,,,,,,,,1,1,12,12,Y,0,,,count,0,,30,,,Beginner,none,x,x,,,
162,Running Arm Cricles,Running Arm Cricles,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,x,,,
163,Low Lateral Squat,Low Lateral Squat,,,,,,,,1,1,12,12,Y,0,,,count,0,,30,,,Beginner,none,x,x,,,
164,Lunge with Rotation,Lunge with Rotation,,,,,,,,1,1,12,12,Y,0,,,yards,0,60,,,,Beginner,none,x,x,,,
165,Reverse Lunge with Reach,Reverse Lunge with Reach,,,,,,,,1,1,12,12,Y,0,,,yards,0,60,,,,Beginner,none,x,x,,,
166,Quick Stance Changes,Quick Stance Changes,,,,,,,,1,1,30,30,Y,0,,,seconds,0,60,,,,Beginner,none,x,,x,,
167,Lateral Dives,Lateral Dives,,,,,,,,1,1,12,12,Y,0,,,count,0,60,0,,,Beginner,none,x,,x,,
168,Ankle Poppers,Ankle Poppers,,,,,,,,1,1,30,30,N,0,,,seconds,0,30,,,,Beginner,none,x,,,x,
169,Star Jumps,Star Jumps,,,,,,,,1,1,10,10,N,0,,,count,0,,3,,,Beginner,none,x,,,x,
170,DL Lateral Jumps,DL Lateral Jumps,,,,,,,,1,1,15,15,Y,0,,,count,0,,3,,,Beginner,none,x,,,x,
171,Single Leg Hop to Balance,Single Leg Hop to Balance,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,,,x,
172,X Drill,X Drill,,,,,,,,1,1,2,2,N,0,,,count,0,,30,,,Beginner,none,x,,,,x
173,N Drill,N Drill,,,,,,,,1,1,2,2,N,0,,,count,0,,30,,,Beginner,none,x,,,,x
174,Bear Crawls,Bear Crawls,,,,,,,,1,1,12,12,N,0,,,yards,0,60,,,,Beginner,none,x,,,,x
175,Knee Hugs,Knee Hugs,,,,,,,,1,1,30,30,Y,0,,,seconds,0,30,,,,Beginner,none,x,x,,,
176,Quad Stretch w/ Toe Raise,Quad Stretch w/ Toe Raise,,,,,,,,1,1,30,30,Y,0,,,seconds,0,30,,,,Beginner,none,x,x,,,
177,Frankensteins,Frankensteins,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,x,,,
178,Scorpions,Scorpions,,,,,,,,1,1,10,10,Y,0,,,count,0,,3,,,Beginner,none,x,x,,,
179,Hip Circles,Hip Circles,,,,,,,,1,1,30,30,N,0,,,seconds,0,30,,,,Beginner,none,x,x,,,
180,Lateral Lunge with Arm Raise,Lateral Lunge with Arm Raise,,,,,,,,1,1,10,10,Y,0,,,count,0,,3,,,Beginner,towel/band,x,x,,,
181,Trunk Sidebending with Arm Raise,Trunk Sidebending with Arm Raise,,,,,,,,1,1,10,10,Y,0,,,count,0,,3,,,Beginner,towel/band,x,x,,,
182,Squats with Toe Raise,Squats with Toe Raise,,,,,,,,1,1,15,15,N,0,,,count,0,,3,,,Beginner,none,x,,x,,
183,Jumping Lunges,Jumping Lunges,,,,,,,,1,1,12,12,Y,0,,,count,0,,3,,,Beginner,none,x,,x,,
184,Banded Calf Raises,Banded Calf Raises,,,,,,,,1,1,15,15,Y,0,,,count,0,,3,,,Beginner,band,x,,x,,
185,Standing Banded Oblique Twists,Standing Banded Oblique Twists,,,,,,,,1,1,12,12,Y,0,,,count,0,,3,,,Beginner,band,x,,,x,
186,Banded Plank Step-Outs,Banded Plank Step-Outs,,,,,,,,1,1,12,12,Y,0,,,count,0,,3,,,Beginner,band,x,,,x,
187,Lunge to Knee Drive,Lunge to Knee Drive,,,,,,,,1,1,12,12,Y,0,,,count,0,,3,,,Beginner,none,x,,,x,
188,Single Leg V-Jumps,Single Leg V-Jumps,,,,,,,,1,1,30,30,Y,0,,,seconds,0,30,,,,Beginner,none,x,,,x,
189,Single Leg Toe Touches,Single Leg Toe Touches,,,,,,,,1,1,12,12,Y,0,,,count,0,,3,,,Beginner,none,x,,,x,
190,Star Drill,Star Drill,,,,,,,,1,1,3,3,N,0,,,count,0,,10,,,Beginner,none,x,,,,x
191,Dot Drill,Dot Drill,,,,,,,,1,1,3,3,N,0,,,count,0,,10,,,Beginner,none,x,,,,x
192,Triple Extension Max Jump,Triple Extension Max Jump,,,,,,,,1,1,3,3,N,0,,,count,0,,10,,,Beginner,none,x,,,,x
193,Side to Side Squat,Side to Side Squat,,,,,,,,1,1,12,12,Y,0,,,count,0,,3,,,Beginner,none,x,x,,,
194,Squat Jumps,Squat Jumps,,,,,,,,1,1,12,12,N,0,,,count,0,,3,,,Beginner,none,x,,x,,
195,Balance Back Kicks,Balance Back Kicks,,,,,,,,1,1,12,12,Y,0,,,count,0,,3,,,Beginner,none,x,,,x,
196,Russian Twists,Russian Twists,,,,,,,,1,1,15,15,Y,0,,,count,0,,3,,,Beginner,none,x,,,x,
197,V-Ups,V-Ups,,,,,,,,1,1,15,15,N,0,,,count,0,,3,,,Beginner,none,x,,,x,
198,Leg Lifts,Leg Lifts,,,,,,,,1,1,15,15,N,0,,,count,0,,3,,,Beginner,none,x,,,x,
199,Tricep Dips,Tricep Dips,,,,,,,,1,1,15,15,N,0,,,count,0,,3,,,Beginner,Bench/Box,x,,,,x
200,Mountain Climbers,Mountain Climbers,,,,,,,,1,1,15,15,Y,0,,,count,0,,3,,,Beginner,none,x,,,,x
201,Elevated Pushups,Elevated Pushups,,,,,,,,1,1,10,10,N,0,,,count,0,,3,,,Beginner,Bench/Box,x,,,,x
202,Plank with Shoulder Taps,Plank with Shoulder Taps,,,,,,,,1,1,30,30,Y,0,,,seconds,0,30,,,,Beginner,none,x,,,,x
203,A-Skips,A-Skips,,,,,,,,1,1,12,12,N,0,,,yards,0,30,,,,Beginner,none,x,,x,,
204,B-Skips,B-Skips,,,,,,,,1,1,12,12,N,0,,,yards,0,30,,,,Beginner,none,x,,x,,
205,Tuck Jumps,Tuck Jumps,,,,,,,,1,1,10,10,N,0,,,count,0,,3,,,Beginner,none,x,,x,,
206,Frog Squat Jumps,Frog Squat Jumps,,,,,,,,1,1,10,10,N,0,,,count,0,,3,,,Beginner,none,x,,x,,
207,Box Jumps,Box Jumps,,,,,,,,1,1,10,10,N,0,,,count,0,,3,,,Beginner,Box,x,,x,,
208,Plyometric Deadlifts,Plyometric Deadlifts,,,,,,,,1,1,10,10,Y,0,,,count,0,,3,,,Beginner,none,x,,,x,
209,Box Hops,Box Hops,,,,,,,,1,1,5,5,Y,0,,,count,0,,5,,,Beginner,none,x,,,x,
210,Lateral Triple Jumps,Lateral Triple Jumps,,,,,,,,1,1,3,3,Y,0,,,count,0,,10,,,Beginner,none,x,,,x,
211,Side Plank Stars,Side Plank Stars,,,,,,,,1,1,8,8,Y,0,,,count,0,,3,,,Beginner,none,x,,,x,
212,Push-up to Sprint,Push-up to Sprint,,,,,,,,1,1,3,3,N,0,,,count,0,,10,,,Beginner,none,x,,,,x
213,Alternating Fast Claw,Alternating Fast Claw,,,,,,,,1,1,12,12,N,0,,,yards,0,30,,,,Beginner,none,x,,,,x
