Trigger Enum	Trend Type	Triggers	Goal Names	Length of Impact	Data Source to inform "All Good"	Insight Priority within Plans	Insight Priority within Trend Type	INSIGHTS IN PLANS	Plans Priority Styling	Plans Content to Pass	Present In Plans	Parent Enum	NEW, FIRST TIME Parent - Title	NEW, FIRST TIME Parent - Body	NEW, FIRST TIME Child - Title	NEW, FIRST TIME Child - Body		NEW, SUBSEQUENT Parent - Title	NEW, SUBSEQUENT Parent - Body	NEW, SUBSEQUENT Child - Title	NEW, SUBSEQUENT Child - Body		CLEARED Title	CLEARED Parent - Body	CLEARED Child - Body	INSIGHTS IN TRENDS	Trends Priority Styling	Trends Content to Pass	Present in Trends	NEW Title	NEW Body		ONGOING Title	ONGOING Body		POS CHANGE Title	POS CHANGE Body	NEG CHANGE Title	NEG CHANGE Body		Trends CLEARED Title	Trends CLEARED Body	PLOTS	Unit of Aggregation	Visualization Type	Visualization Range	Overlay Variable	Plots Title	PLANS	Input	Heat	Warmup	Cooldown / Active Recovery	Active Rest	Ice	CWI	Increase Default Recommended Comp. of Activity
12	Response	Sore (Pers <30d, Pers_2 <30d) + Soreness Reported Today	Care for Soreness	Single Day	soreness	10	10		0		0																0		1	Soreness Resulting From Weakeness	We've noticed a pattern of soreness likely due to {bodypart} weakness. Proactive recovery will expodite tissue healing for faster gains.		Soreness Resulting From Weakeness	We've noticed a pattern of soreness likely due to {bodypart} weakness. Proactive recovery will expodite tissue healing for faster gains.										Unique per body part	3	7	Max Severity of Soreness reported per day for single body part	Soreness Pattern in {bodypart}		Body Part				x			
13	Response	Sore (Pers >30d, Pers_2 > 30d) + Soreness Reported Today	Care for Soreness	Single Day	soreness	10	9		0		0																0		1	Soreness Resulting from Imbalance	We've noticed an unexpected pattern of {bodypart} soreness which may be due to a functional or movement imbalance.		Soreness Resulting from Imbalance	We've noticed an unexpected pattern of {bodypart} soreness which may be due to a functional or movement imbalance.										Unique per body part	3	7	Max Severity of Soreness reported per day for single body part	Soreness Pattern in {bodypart}		Body Part				x	x		
14	Response	Pain reported today (severity 1, 2) + NOT historic pain	Address Pain	Single Day	pain	1	7		0	{goal}, {bodypart}	1	2	Listen to your body	This pain could be a sign of something wrong. Please avoid & modify movements that cause discomfort or pain.	Listen to your body	So we've added activities to {goal}, but please avoid anything that causes pain or discomfort.		Listen to your body	This pain could be a sign of something wrong. Please avoid & modify movements that cause discomfort or pain.	Listen to your body	So we've added activities to {goal}, but please avoid anything that causes pain or discomfort.						0		1	Listen to your body	{bodypart} pain is not normal and typically a sign of misalignments or movement impairments elsewhere.		Listen to your body	{bodypart} pain is not normal and typically a sign of misalignments or movement impairments elsewhere.										Unique per body part	3	7	Max Severity of Pain reported per day for single body part	Pain in {bodypart}		Body Part				x	x		x Active Rest Active Recovery
15	Response	Pain reported today (severity 3-5) + NOT historic pain	Address Pain	Single Day	pain	1	1		1		1	2	Listen to your body	This pain could be a sign of something wrong. Please avoid & modify movements that cause discomfort or pain.	Listen to your body	This pain could be a sign of something wrong. Please avoid & modify movements that cause discomfort or pain.		Listen to your body	This pain could be a sign of something wrong. Please avoid & modify movements that cause discomfort or pain.	Listen to your body	This pain could be a sign of something wrong. Please avoid & modify movements that cause discomfort or pain.						1		1	Listen to your body	Pain is not a normal training response & is typically a sign of misalignments or movement impairments elsewhere.		Listen to your body	Pain is not a normal training response & is typically a sign of misalignments or movement impairments elsewhere.										Unique per body part	3	7	Max Severity of Pain reported per day for single body part	Pain in {bodypart}		Body Part				x	x		x Active Rest Active Recovery
23	Response	Pain reported today  (severity 1, 2)  + (acute, pers<30, per>30)	Address Pain	Single Day	pain	1	8		0		1	2	Listen to your body	This pain could be a sign of something wrong. Please avoid & modify movements that cause discomfort or pain.	Listen to your body(ies)	So we've added activities to {goal}, but please avoid anything that causes pain or discomfort.		Listen to your body	This pain could be a sign of something wrong. Please avoid & modify movements that cause discomfort or pain.	Listen to your body(ies)	So we've added activities to {goal}, but please avoid anything that causes pain or discomfort.						0		1	Listen to your body	Pain is not a normal training response & is typically a sign of misalignments or movement impairments elsewhere.		Listen to your body	Pain is not a normal training response & is typically a sign of misalignments or movement impairments elsewhere.										Unique per body part	3	7	Max Severity of Pain reported per day for single body part	Pain Trend in {bodypart}		Body Part				x	x		
24	Response	Pain reported today (severity 3-5)  + (acute, pers<30, per>30)	Address Pain	Single Day	pain	1	2		1		1	2	Listen to your body	This pain could be a sign of something wrong. Please avoid & modify movements that cause discomfort or pain.	Listen to your body	This pain could be a sign of something wrong. Please avoid & modify movements that cause discomfort or pain.		Listen to your body	This pain could be a sign of something wrong. Please avoid & modify movements that cause discomfort or pain.	Listen to your body	This pain could be a sign of something wrong. Please avoid & modify movements that cause discomfort or pain.						1		1	Listen to your body	Pain is not a normal training response & is typically a sign of misalignments or movement impairments elsewhere.		Listen to your body	Pain is not a normal training response & is typically a sign of misalignments or movement impairments elsewhere.										Unique per body part	3	7	Max Severity of Pain reported per day for single body part	Pain Trend in {bodypart}		Body Part				x	x		
21	Response	Pain (Pers, Pers_2  < 30d)  + Pain NOT reported today	Mitigate Effects of Imbalance	Single Day	pain	12	15		0		0																0		0															Unique per body part	3	7	Max Severity of Pain reported per day for single body part	Pain Trend in {bodypart}		Body Part	x						
22	Response	Pain (Pers, Pers_2  > 30d)  + Pain NOT reported today	Mitigate Effects of Imbalance	Single Day	pain	12	14		0		0																0		0															Unique per body part	3	7	Max Severity of Pain reported per day for single body part	Pain Trend in {bodypart}		Body Part	x						
101	Response	Fatigue within a session - torso / pelvis - loading pattern symmetry		Single Day	three_sensor	3	4		0		1	5	Poor Response Identified	So we've added activities to {goal}. 	Fatigue Identified	So we've added activities to {goal}. 		Poor Response Identified	So we've added activities to {goal}. 	Fatigue Identified	So we've added activities to {goal}. 						0		1	Fatigue Identified	The ideal range for [Fatigue] is [range] and you're currently at [number]. This [description of risk factor].		Fatigue Identified	The ideal range for [Fatigue] is [range] and you're currently at [number]. This [description of risk factor].										per session	6	7	Movement Quality at start and end of session Severity category per day to define color per day			CME				x			
102	Response	Poor Response in an individual session - torso / pelvis - loading pattern symmetry		Single Day	three_sensor	3	3		0		1	5	Poor Response Identified	So we've added activities to {goal}. 	Poor Response Identified	So we added activities to {goal}. 		Poor Response Identified	So we've added activities to {goal}. 	Poor Response Identified	So we added activities to {goal}. 						0		1	Poor Response Identified	The ideal range for [Fatigue] is [range] and you're currently at [number]. This [description of risk factor].		Poor Response Identified	The ideal range for [Fatigue] is [range] and you're currently at [number]. This [description of risk factor].										per session	6	7	Movement Quality max and min of session Severity category per day to define color per day			CME				x		x	
205	Biomechanics	No triggers flagged based on soreness					9		0		0																0		1	All Good!	You're biomechanical variables are in a normal range. We'll keep monitoring for any signs of weaknesses or imbalances. 		All Good!	You're biomechanical variables are in a normal range. We'll keep monitoring for any signs of weaknesses or imbalances. 										per day, considering all body parts	3	14	Max Severity of Soreness reported per day for all body parts	Your Soreness History									
206	Biomechanics	No triggers flagged based on pain					8		0		0																0		1	All Good!	No pain-related findings. We'll keep monitoring & will let you know if we find any meaningful patterns or trends.		All Good!	No pain-related findings. We'll keep monitoring & will let you know if we find any meaningful patterns or trends.										per day, considering all body parts	3	14	Max Severity of Pain reported per day for all body parts	Your Pain History									
207	Biomechanics	No triggers flagged based on 3sensor					7		0		0																0		1	All Good!	You're biomechanical variables are in a normal range. We'll keep monitoring for any signs of chronic movement dysfunction.		All Good!	You're biomechanical variables are in a normal range. We'll keep monitoring for any signs of chronic movement dysfunction.										per session	6	14	Movement Quality max and min of session Severity category per day to define color per day	Your Biomechanical Response History									
19	Biomechanics	Sore (Pers >30d, Pers_2 > 30d) 	Mitigate Effects of Imbalance  Correct Imbalance	Mulitple Days	soreness	6	6		0	{goal}, {bodypart}	1	4	Strength Imbalance(s) Identified 	So we've added activities to [goals]. 	Strength Imbalance Identified 	So we've added activities to {goal}. 		Strength Imbalance(s) Identified 	So we've added activities to [goals]. 	Strength Imbalance Identified 	So we've added activities to {goal}. 		Symptoms Cleared!	Congrats! You've resolved your persistant {bodypart} soreness!	Congrats! You've resolved your persistant {bodypart} soreness!		0		1	Strength Imbalance Identified 	We found a pattern of [body parts] soreness, which points to a strength imbalance that should improve with consistent recovery.		Strength Imbalance Identified 	We found a pattern of [body parts] soreness, which points to a strength imbalance that should improve with consistent recovery.		Strength Imbalance [Improving/Worsening]					SAME AS PLANS INSIGHT TITLE	Great job! We no longer see signs of {bodypart} strength imbalance.		Unique per body part	3	14	Max Severity of Soreness reported per day for single body part	Soreness Pattern in {bodypart}		Body Part	x			x			
16	Biomechanics	Pain (Acute, Pers, Pers_2)	Correct Imbalance	Mulitple Days	pain	4	4		0	{goal}, {bodypart}	1	4	Sign of Possible Injury(ies)	So we added activities to {goal} commonly attributed to this injury cycle. Please avoid any activity which aggravate your pain.	Sign of Possible Injury	So we added activities to {goal} commonly attributed to this injury cycle. Please avoid any activity which aggravate your pain.		Sign of Possible Injury(ies)	So we added activities to {goal} commonly attributed to this injury cycle. Please avoid any activity which aggravate your pain.	Sign of Possible Injury	So we added activities to {goal} commonly attributed to this injury cycle. Please avoid any activity which aggravate your pain.		Symptoms Cleared!	Congrats! You've resolved your persistant {bodypart} pain!	We've haven't seen your {bodypart} pain come back in a while! We'll update the plan to reflect your progress!		0		1	Sign of Possible Injury	Recurring pain can be caused by biomechanical imbalances & frequently results in chronic & overuse injury.		Sign of Possible Injury	Recurring pain can be caused by biomechanical imbalances & frequently results in chronic & overuse injury.		 Pain Patterns [Improving/Worsening]					SAME AS PLANS INSIGHT TITLE			Unique per body part	3	14	Max Severity of Pain reported per day for single body part	Pain Trend in {bodypart}		Body Part				x			
103	Biomechanics	Fatigue within session, trending over multiple sessions - torso / pelvis - loading pattern symmetry		Mulitple Days	three_sensor	2	2		0		1	6	Poor Response Identified	So we've added activities to {goal}. 	Fatigue Identified	So we add activities to {goal} 		Poor Response Identified	So we've added activities to {goal}. 	Fatigue Identified	So we add activities to {goal} 		Symptoms Cleared!	Congrats! You've resolved your persistant {bodypart} soreness!	Congrats! You've resolved your persistant {bodypart} soreness!		0		1	Fatigue Identified	The ideal range for [Fatigue] is [range] and you're currently at [number]. This [description of risk factor].		Fatigue Identified	The ideal range for [Fatigue] is [range] and you're currently at [number]. This [description of risk factor].							SAME AS PLANS INSIGHT TITLE			per session	6	14	Movement Quality at start and end of session Severity category per day to define color per day			CME		x				x	x Active Rest
104	Biomechanics	Poor Response trending over the course of multiple sessions - torso / pelvis - loading pattern symmetry		Mulitple Days	three_sensor	2	1		0		1	6	Pattern of Poor Response Identified	So we've added activities to {goal}. 	Poor Response Identified	So we add activities to {goal} 		Pattern of Poor Response Identified	So we've added activities to {goal}. 	Poor Response Identified	So we add activities to {goal} 		Symptoms Cleared!	Congrats! You've resolved your persistant {bodypart} soreness!	Congrats! You've resolved your persistant {bodypart} soreness!		0		1	Poor Response Identified	The ideal range for [Fatigue] is [range] and you're currently at [number]. This [description of risk factor].		Poor Response Identified	The ideal range for [Fatigue] is [range] and you're currently at [number]. This [description of risk factor].							SAME AS PLANS INSIGHT TITLE			per session	6	14	Movement Quality max and min of session Severity category per day to define color per day			CME		x				x	x Active Rest
